mph,lat,lon,bz_vz,bz_sp
34.797,42.335852,-83.887323,97.627,109.053
34.797,42.335852,-83.887323,93.203,131.265
34.797,42.335852,-83.887323,93.942,60.815
34.175,42.335852,-83.887323,81.067,121.047
34.175,42.335852,-83.887323,81.573,137.012
33.554,42.33574,-83.887325,97.896,46.566
32.311,42.33574,-83.887325,84.231,59.231
31.069,42.33574,-83.887325,91.944,57.335
30.447,42.335625,-83.887325,79.241,113.427
29.826,42.335625,-83.887325,64.207,67.578
29.204,42.335625,-83.887325,83.139,63.337
28.583,42.335507,-83.887323,99.916,117.385
25.476,42.335507,-83.887323,80.702,52.249
16.777,42.335507,-83.887323,65.128,86.013
12.427,42.335387,-83.887325,88.646,52.517
11.185,42.335387,-83.887325,86.699,127.135
10.563,42.335387,-83.887325,79.202,116.509
10.563,42.335262,-83.887322,89.051,68.384
10.563,42.335262,-83.887322,84.458,119.541
11.185,42.335262,-83.887322,89.381,136.071
12.427,42.335262,-83.887322,80.952,108.689
11.806,42.335262,-83.887322,83.623,58.741
11.185,42.335262,-83.887322,82.339,140.192
11.185,42.335135,-83.887322,112.188,126.279
10.563,42.335135,-83.887322,84.316,128.918
9.321,42.335135,-83.887322,60.707,86.63
8.699,42.335008,-83.88732,100.009,128.059
8.078,42.335008,-83.88732,62.02,126.357
8.078,42.335008,-83.88732,109.342,124.368
0.0,42.335008,-83.88732,64.587,146.11
0.621,42.330558,-83.886608,127.658,62.151
1.243,42.330558,-83.886608,66.182,145.767
1.864,42.330558,-83.886608,70.43,70.075
2.485,42.330558,-83.886608,150.245,71.956
3.107,42.330558,-83.886608,50.31,125.307
3.107,42.330558,-83.886608,85.941,133.692
1.243,42.330558,-83.886608,68.68,59.408
0.0,42.330558,-83.886608,80.661,59.437
1.243,42.330558,-83.886608,84.238,125.199
3.107,42.33056,-83.886608,64.655,91.767
3.107,42.33056,-83.886608,89.639,119.57
0.621,42.33056,-83.886608,88.285,82.027
0.0,42.33056,-83.886612,148.413,59.483
0.0,42.33056,-83.886612,64.95,85.931
0.621,42.33056,-83.886612,48.805,148.361
0.0,42.33056,-83.886612,65.583,79.536
0.0,42.33056,-83.886612,79.004,66.842
0.621,42.33056,-83.886612,84.925,65.315
3.728,42.330565,-83.886617,89.645,162.662
4.971,42.330565,-83.886617,89.412,84.409
4.971,42.330565,-83.886617,58.733,128.598
4.35,42.330577,-83.886617,92.925,83.036
4.971,42.330577,-83.886617,95.089,65.736
4.971,42.330577,-83.886617,76.977,60.639
5.592,42.330588,-83.886612,95.471,58.997
5.592,42.330588,-83.886612,90.423,122.851
6.214,42.330588,-83.886612,77.014,64.351
8.078,42.330597,-83.886602,78.18,57.484
9.942,42.330597,-83.886602,79.659,133.86
10.563,42.330597,-83.886602,86.008,87.129
11.185,42.330603,-83.886588,98.828,77.497
11.806,42.330603,-83.886588,90.63,152.931
12.427,42.330603,-83.886588,90.537,122.157
11.806,42.330603,-83.886588,78.294,78.095
9.321,42.330603,-83.886588,84.765,76.648
8.078,42.330603,-83.886588,95.75,129.807
8.078,42.330603,-83.886578,80.343,50.448
8.699,42.330603,-83.886578,78.679,59.486
9.942,42.330603,-83.886578,57.331,59.334
12.427,42.330603,-83.886577,81.717,122.414
14.292,42.330603,-83.886577,84.24,124.372
16.156,42.330603,-83.886577,73.262,63.952
18.02,42.330605,-83.886583,51.806,113.865
19.884,42.330605,-83.886583,91.9,110.424
20.505,42.330605,-83.886583,84.856,115.001
21.748,42.33061,-83.886593,84.265,52.061
22.991,42.33061,-83.886593,85.118,115.664
23.612,42.33061,-83.886593,88.45,127.444
24.855,42.330622,-83.886602,97.285,80.806
26.098,42.330622,-83.886602,105.822,76.768
26.719,42.330622,-83.886602,64.172,122.843
28.583,42.330622,-83.886602,94.816,120.507
30.447,42.330622,-83.886602,64.231,69.93
30.447,42.330622,-83.886602,84.106,75.452
31.069,42.330632,-83.886605,88.722,69.982
32.311,42.330632,-83.886605,94.591,136.673
32.933,42.330632,-83.886605,91.806,63.847
34.175,42.330632,-83.886605,70.245,59.649
35.418,42.330632,-83.886605,91.68,114.972
36.04,42.330632,-83.886605,51.876,114.214
34.797,42.330628,-83.886605,81.863,67.915
35.418,42.330628,-83.886605,66.581,46.738
36.661,42.330628,-83.886605,84.221,113.131
37.282,42.330625,-83.886603,86.5,115.784
37.282,42.330625,-83.886603,81.437,51.908
37.282,42.330625,-83.886603,51.044,128.811
36.661,42.330622,-83.8866,85.746,122.096
35.418,42.330622,-83.8866,97.202,78.016
34.797,42.330622,-83.8866,92.946,63.772
35.418,42.330622,-83.8866,96.531,57.912
36.04,42.330622,-83.8866,82.973,112.183
37.282,42.330622,-83.8866,80.078,58.905
38.525,42.330617,-83.886597,76.45,107.178
37.904,42.330617,-83.886597,96.939,109.251
37.282,42.330617,-83.886597,96.123,128.31
36.661,42.330615,-83.886595,81.728,60.437
36.661,42.330615,-83.886595,65.663,54.797
36.04,42.330615,-83.886595,85.983,55.896
36.04,42.330618,-83.886595,95.807,120.477
36.661,42.330618,-83.886595,95.844,56.181
36.661,42.330618,-83.886595,60.438,50.374
37.904,42.330632,-83.88659,89.198,110.359
39.146,42.330632,-83.88659,88.544,134.976
39.146,42.330632,-83.88659,94.516,65.289
41.01,42.330652,-83.886583,83.98,57.424
40.389,42.330652,-83.886583,87.091,135.808
40.389,42.330652,-83.886583,82.786,130.34
41.01,42.330652,-83.886583,78.982,58.557
40.389,42.330652,-83.886583,72.385,77.846
39.768,42.330652,-83.886583,86.476,59.631
39.146,42.330672,-83.886578,90.663,118.593
38.525,42.330672,-83.886578,76.823,56.461
37.904,42.330672,-83.886578,54.868,147.722
38.525,42.330692,-83.886575,91.936,129.481
39.768,42.330692,-83.886575,82.439,112.617
40.389,42.330692,-83.886575,65.96,113.902
42.253,42.330715,-83.886573,76.486,121.03
42.875,42.330715,-83.886573,105.813,122.197
43.496,42.330715,-83.886573,85.05,73.246
43.496,42.330737,-83.886577,76.524,143.993
44.117,42.330737,-83.886577,117.839,117.005
44.117,42.330737,-83.886577,62.351,111.932
42.875,42.330758,-83.886592,98.249,54.373
42.253,42.330758,-83.886592,78.173,120.298
41.632,42.330758,-83.886592,89.885,112.894
41.632,42.330758,-83.886592,92.952,116.709
42.253,42.330758,-83.886592,68.021,48.056
42.875,42.330758,-83.886592,50.478,56.868
42.875,42.330777,-83.886617,79.828,110.799
43.496,42.330777,-83.886617,56.549,96.312
44.117,42.330777,-83.886617,76.429,117.549
44.739,42.330788,-83.88665,82.335,115.429
45.36,42.330788,-83.88665,102.512,109.092
45.36,42.330788,-83.88665,83.026,73.182
45.981,42.330798,-83.886692,56.469,126.591
46.603,42.330798,-83.886692,82.572,114.76
47.224,42.330798,-83.886692,94.807,88.494
47.224,42.330807,-83.886745,77.344,67.866
47.846,42.330807,-83.886745,53.672,71.374
48.467,42.330807,-83.886745,81.431,118.791
49.088,42.330808,-83.886805,91.77,132.573
48.467,42.330808,-83.886805,72.509,63.731
47.846,42.330808,-83.886805,106.889,122.288
47.224,42.330808,-83.886805,61.878,118.701
47.224,42.330808,-83.886805,86.686,50.658
