vehiclespeed,latitude,longitude,verizon,sprint,xfinitywifi
69.594,42.234325,-83.738962,85.376,112.686,-1.0
69.594,42.234365,-83.73897,221.344,141.751,-1.0
69.594,42.234365,-83.73897,168.404,121.533,-1.0
69.594,42.234365,-83.73897,84.201,71.387,-1.0
69.594,42.234418,-83.738973,81.846,146.028,-1.0
69.594,42.234418,-83.738973,130.56,125.563,-1.0
69.594,42.234418,-83.738973,96.726,77.125,-1.0
69.594,42.234488,-83.738977,96.954,65.09,-1.0
69.594,42.234488,-83.738977,81.375,120.978,-1.0
69.594,42.234488,-83.738977,118.409,131.302,-1.0
68.972,42.234575,-83.738983,86.902,59.598,-1.0
68.972,42.234575,-83.738983,91.402,127.495,-1.0
68.972,42.234575,-83.738983,80.058,70.757,-1.0
68.972,42.234673,-83.738995,66.305,60.811,-1.0
68.972,42.234673,-83.738995,87.317,52.75,-1.0
68.972,42.234673,-83.738995,81.417,57.492,-1.0
68.972,42.234673,-83.738995,77.843,118.257,-1.0
69.594,42.234673,-83.738995,59.803,122.855,-1.0
69.594,42.234673,-83.738995,82.034,63.43,-1.0
68.972,42.234783,-83.739008,57.643,118.502,-1.0
69.594,42.234783,-83.739008,120.088,113.275,-1.0
69.594,42.234783,-83.739008,75.737,110.048,-1.0
69.594,42.234905,-83.739017,90.094,61.922,-1.0
69.594,42.234905,-83.739017,77.697,123.083,-1.0
69.594,42.234905,-83.739017,89.071,122.277,-1.0
69.594,42.235038,-83.739023,86.627,82.248,-1.0
70.215,42.235038,-83.739023,48.93,114.875,-1.0
69.594,42.235038,-83.739023,55.43,111.798,-1.0
69.594,42.23518,-83.739025,64.246,133.486,-1.0
70.215,42.23518,-83.739025,89.447,52.389,-1.0
70.215,42.23518,-83.739025,93.784,100.608,-1.0
69.594,42.23533,-83.739027,73.126,138.457,-1.0
70.215,42.23533,-83.739027,50.405,122.953,-1.0
70.215,42.23533,-83.739027,83.152,65.001,-1.0
70.215,42.23533,-83.739027,85.039,149.476,-1.0
70.215,42.23533,-83.739027,75.754,118.406,-1.0
70.215,42.23533,-83.739027,104.676,119.96,-1.0
70.215,42.235488,-83.739028,48.517,47.133,-1.0
70.215,42.235488,-83.739028,89.521,125.458,-1.0
70.215,42.235488,-83.739028,109.095,61.522,-1.0
70.215,42.235653,-83.739028,48.283,120.02,-1.0
70.215,42.235653,-83.739028,51.048,66.488,-1.0
70.215,42.235653,-83.739028,99.893,115.609,-1.0
70.215,42.235825,-83.739028,120.141,112.582,-1.0
70.215,42.235825,-83.739028,84.353,116.956,-1.0
70.215,42.235825,-83.739028,87.942,121.884,-1.0
70.215,42.236002,-83.739028,71.317,119.983,-1.0
70.215,42.236002,-83.739028,76.584,95.644,-1.0
69.594,42.236002,-83.739028,92.451,117.014,-1.0
69.594,42.23618,-83.73903,85.69,116.106,-1.0
69.594,42.23618,-83.73903,87.149,62.938,-1.0
69.594,42.23618,-83.73903,84.123,126.588,-1.0
69.594,42.23618,-83.73903,84.196,121.956,-1.0
69.594,42.23618,-83.73903,86.42,117.93,-1.0
69.594,42.23618,-83.73903,79.384,64.218,-1.0
69.594,42.236357,-83.739032,47.89,111.746,-1.0
69.594,42.236357,-83.739032,86.066,49.613,-1.0
69.594,42.236357,-83.739032,84.674,118.083,-1.0
69.594,42.23653,-83.739033,74.097,45.012,-1.0
69.594,42.23653,-83.739033,80.443,122.798,-1.0
70.215,42.23653,-83.739033,83.912,117.741,-1.0
69.594,42.236698,-83.739033,90.634,116.528,-1.0
69.594,42.236698,-83.739033,86.735,50.9,-1.0
69.594,42.236698,-83.739033,57.506,111.226,-1.0
69.594,42.236858,-83.739032,83.373,116.491,-1.0
69.594,42.236858,-83.739032,79.771,72.689,-1.0
69.594,42.236858,-83.739032,51.606,51.895,-1.0
69.594,42.237008,-83.739028,48.225,113.749,-1.0
69.594,42.237008,-83.739028,47.606,112.643,-1.0
69.594,42.237008,-83.739028,88.883,113.83,-1.0
69.594,42.237008,-83.739028,83.025,48.003,-1.0
69.594,42.237008,-83.739028,98.436,106.22,-1.0
69.594,42.237008,-83.739028,86.366,117.778,-1.0
68.972,42.237152,-83.739018,63.387,60.415,-1.0
68.972,42.237152,-83.739018,94.215,52.257,-1.0
68.972,42.237152,-83.739018,83.569,109.485,-1.0
68.972,42.23729,-83.739003,78.266,118.089,-1.0
68.972,42.23729,-83.739003,60.812,58.386,-1.0
68.972,42.23729,-83.739003,83.836,61.495,-1.0
69.594,42.237427,-83.738988,86.168,123.83,-1.0
69.594,42.237427,-83.738988,73.616,121.66,-1.0
69.594,42.237427,-83.738988,81.892,47.184,-1.0
69.594,42.237562,-83.738972,80.508,107.409,-1.0
69.594,42.237562,-83.738972,81.796,58.393,-1.0
69.594,42.237562,-83.738972,79.578,148.737,-1.0
69.594,42.23769,-83.738953,84.321,58.996,-1.0
69.594,42.23769,-83.738953,84.654,152.904,-1.0
69.594,42.23769,-83.738953,80.683,141.76,-1.0
69.594,42.23769,-83.738953,81.063,263.321,-1.0
70.215,42.23769,-83.738953,90.486,51.597,-1.0
69.594,42.23769,-83.738953,123.331,1123.669,-1.0
70.215,42.237812,-83.738927,105.947,128.267,-1.0
69.594,42.237812,-83.738927,88.405,46.017,-1.0
69.594,42.237812,-83.738927,114.028,212.157,-1.0
69.594,42.237927,-83.738882,88.174,57.071,-1.0
69.594,42.237927,-83.738882,79.99,49.134,-1.0
69.594,42.237927,-83.738882,174.975,113.872,-1.0
69.594,42.238033,-83.738813,84.064,116.976,-1.0
69.594,42.238033,-83.738813,92.493,112.282,-1.0
69.594,42.238033,-83.738813,136.914,52.424,-1.0
69.594,42.238125,-83.73872,65.483,111.872,-1.0
70.215,42.238125,-83.73872,107.553,110.589,-1.0
70.215,42.238125,-83.73872,94.508,60.387,-1.0
70.215,42.238198,-83.738605,70.527,57.309,-1.0
70.215,42.238198,-83.738605,80.741,60.399,-1.0
70.215,42.238198,-83.738605,55.176,117.255,-1.0
70.215,42.238198,-83.738605,90.25,67.972,-1.0
70.215,42.238198,-83.738605,72.31,108.003,-1.0
69.594,42.238198,-83.738605,83.705,116.868,-1.0
69.594,42.238253,-83.738472,85.001,118.303,-1.0
69.594,42.238253,-83.738472,79.032,49.738,-1.0
69.594,42.238253,-83.738472,53.257,57.637,-1.0
69.594,42.238285,-83.738323,82.524,115.94,-1.0
68.972,42.238285,-83.738323,80.242,120.2,-1.0
68.972,42.238285,-83.738323,80.488,64.834,-1.0
68.972,42.238295,-83.73817,81.64,114.588,-1.0
68.972,42.238295,-83.73817,93.242,115.613,-1.0
68.972,42.238295,-83.73817,86.407,81.065,-1.0
69.594,42.238285,-83.738012,79.962,120.583,-1.0
69.594,42.238285,-83.738012,77.375,110.172,-1.0
69.594,42.238285,-83.738012,84.371,127.347,-1.0
69.594,42.238248,-83.737855,71.704,67.536,-1.0
69.594,42.238248,-83.737855,63.999,111.868,-1.0
69.594,42.238248,-83.737855,86.297,124.691,-1.0
69.594,42.238248,-83.737855,83.663,122.008,-1.0
69.594,42.238248,-83.737855,77.24,54.028,-1.0
69.594,42.238248,-83.737855,57.703,115.035,-1.0
69.594,42.238188,-83.73771,78.171,120.087,-1.0
69.594,42.238188,-83.73771,83.859,54.717,-1.0
69.594,42.238188,-83.73771,79.616,113.353,-1.0
69.594,42.238103,-83.73759,83.229,116.646,-1.0
69.594,42.238103,-83.73759,79.992,111.634,-1.0
69.594,42.238103,-83.73759,77.667,84.218,-1.0
69.594,42.238002,-83.737497,82.421,47.071,-1.0
69.594,42.238002,-83.737497,57.138,134.019,-1.0
69.594,42.238002,-83.737497,83.989,106.73,-1.0
69.594,42.237885,-83.737433,67.889,64.742,-1.0
69.594,42.237885,-83.737433,87.009,51.28,-1.0
69.594,42.237885,-83.737433,86.763,109.914,-1.0
69.594,42.23776,-83.737402,90.192,111.098,-1.0
69.594,42.23776,-83.737402,83.751,118.358,-1.0
70.215,42.23776,-83.737402,86.506,110.295,-1.0
69.594,42.23776,-83.737402,75.171,67.213,-1.0
70.215,42.23776,-83.737402,58.582,126.423,-1.0
70.215,42.23776,-83.737402,81.57,55.44,-1.0
69.594,42.237633,-83.737412,90.77,114.95,-1.0
70.215,42.237633,-83.737412,86.735,65.895,-1.0
70.215,42.237633,-83.737412,80.727,53.988,-1.0
70.215,42.237512,-83.737457,90.158,120.158,-1.0
70.215,42.237512,-83.737457,90.974,126.394,-1.0
69.594,42.237512,-83.737457,83.302,135.798,-1.0
69.594,42.2374,-83.737542,74.533,116.705,-1.0
69.594,42.2374,-83.737542,84.547,64.9,-1.0
69.594,42.2374,-83.737542,86.45,111.21,-1.0
69.594,42.237303,-83.737665,95.707,99.06,-1.0
69.594,42.237303,-83.737665,71.519,111.339,-1.0
68.972,42.237303,-83.737665,69.242,121.195,-1.0
68.972,42.237225,-83.737825,80.136,113.982,-1.0
68.972,42.237225,-83.737825,82.689,102.161,-1.0
68.972,42.237225,-83.737825,118.318,109.508,-1.0
68.972,42.237225,-83.737825,75.925,119.473,-1.0
68.972,42.237225,-83.737825,87.589,129.591,-1.0
69.594,42.237225,-83.737825,72.624,70.956,-1.0
69.594,42.237168,-83.738012,80.829,113.391,-1.0
69.594,42.237168,-83.738012,78.795,128.941,-1.0
69.594,42.237168,-83.738012,84.185,120.928,-1.0
70.215,42.237133,-83.738227,81.539,52.797,-1.0
70.215,42.237133,-83.738227,54.02,114.553,-1.0
70.215,42.237133,-83.738227,87.801,54.204,-1.0
70.215,42.237112,-83.738458,85.548,55.883,-1.0
70.215,42.237112,-83.738458,90.738,51.165,-1.0
70.215,42.237112,-83.738458,62.908,115.912,-1.0
70.215,42.237095,-83.738705,95.517,104.371,-1.0
70.215,42.237095,-83.738705,96.5,116.438,-1.0
70.215,42.237095,-83.738705,57.914,115.315,-1.0
70.215,42.237077,-83.738953,86.829,110.749,-1.0
70.215,42.237077,-83.738953,105.06,349.605,-1.0
69.594,42.237077,-83.738953,99.278,119.984,-1.0
69.594,42.237077,-83.738953,86.701,51.305,-1.0
69.594,42.237077,-83.738953,82.429,68.978,-1.0
69.594,42.237077,-83.738953,69.87,112.886,-1.0
69.594,42.237057,-83.739212,94.008,112.891,-1.0
69.594,42.237057,-83.739212,84.005,135.708,-1.0
69.594,42.237057,-83.739212,84.503,61.875,-1.0
69.594,42.237053,-83.73949,60.988,317.177,-1.0
69.594,42.237053,-83.73949,87.685,117.021,-1.0
69.594,42.237053,-83.73949,95.396,124.307,-1.0
69.594,42.237057,-83.739782,103.546,55.871,-1.0
69.594,42.237057,-83.739782,61.679,117.728,-1.0
69.594,42.237057,-83.739782,86.628,110.411,-1.0
69.594,42.237062,-83.740105,85.372,120.237,-1.0
69.594,42.237062,-83.740105,80.134,54.723,-1.0
69.594,42.237062,-83.740105,74.083,108.985,-1.0
69.594,42.237053,-83.740423,87.366,116.265,-1.0
70.215,42.237053,-83.740423,79.237,116.796,-1.0
69.594,42.237053,-83.740423,87.784,104.844,-1.0
69.594,42.237053,-83.740423,81.15,48.594,-1.0
69.594,42.237053,-83.740423,90.043,120.843,-1.0
69.594,42.237053,-83.740423,108.446,75.026,-1.0
69.594,42.237048,-83.74074,75.666,119.51,-1.0
69.594,42.237048,-83.74074,84.376,123.901,-1.0
69.594,42.237048,-83.74074,86.357,116.087,-1.0
69.594,42.237048,-83.74074,78.274,64.693,-1.0
69.594,42.237043,-83.741053,59.409,118.521,-1.0
69.594,42.237043,-83.741053,89.249,115.182,-1.0
69.594,42.237043,-83.741053,86.871,62.124,-1.0
69.594,42.237033,-83.74137,77.168,47.35,-1.0
69.594,42.237033,-83.74137,84.075,121.545,-1.0
69.594,42.237033,-83.74137,86.76,123.004,-1.0
69.594,42.237022,-83.741688,89.979,122.319,-1.0
69.594,42.237022,-83.741688,84.207,51.13,-1.0
69.594,42.237022,-83.741688,55.001,120.59,-1.0
69.594,42.237008,-83.742012,86.377,129.763,-1.0
69.594,42.237008,-83.742012,90.824,118.175,-1.0
69.594,42.237008,-83.742012,92.307,52.154,-1.0
69.594,42.237008,-83.742012,95.721,116.077,-1.0
69.594,42.237008,-83.742012,84.472,111.544,-1.0
69.594,42.237008,-83.742012,89.709,113.776,-1.0
69.594,42.236998,-83.742335,98.991,59.991,-1.0
69.594,42.236998,-83.742335,90.043,115.959,-1.0
69.594,42.236998,-83.742335,82.355,124.429,-1.0
69.594,42.236988,-83.742662,95.947,123.039,-1.0
69.594,42.236988,-83.742662,347.378,132.182,-1.0
69.594,42.236988,-83.742662,83.927,49.945,-1.0
69.594,42.23698,-83.74299,80.978,113.595,-1.0
69.594,42.23698,-83.74299,74.515,59.508,-1.0
69.594,42.23698,-83.74299,125.895,57.512,-1.0
69.594,42.236972,-83.743322,97.449,117.543,-1.0
69.594,42.236972,-83.743322,56.885,112.966,-1.0
69.594,42.236972,-83.743322,102.937,55.711,-1.0
69.594,42.236962,-83.743653,183.748,135.813,-1.0
69.594,42.236962,-83.743653,105.911,64.073,-1.0
69.594,42.236962,-83.743653,88.629,130.319,-1.0
69.594,42.236962,-83.743653,90.668,54.641,-1.0
69.594,42.236962,-83.743653,77.906,123.344,-1.0
69.594,42.236962,-83.743653,89.577,119.482,-1.0
69.594,42.236953,-83.743987,82.261,118.902,-1.0
69.594,42.236953,-83.743987,90.765,60.637,-1.0
69.594,42.236953,-83.743987,73.242,108.184,-1.0
69.594,42.236945,-83.74432,90.529,61.105,-1.0
69.594,42.236945,-83.74432,84.187,107.224,-1.0
69.594,42.236945,-83.74432,81.21,114.272,-1.0
69.594,42.236937,-83.744652,83.555,120.761,-1.0
69.594,42.236937,-83.744652,70.249,114.603,-1.0
69.594,42.236937,-83.744652,81.306,65.316,-1.0
69.594,42.23693,-83.744982,106.8,140.676,-1.0
69.594,42.23693,-83.744982,75.785,138.262,-1.0
